cluster_id,program,size,refs,addrs,addr_range,functions_touched,shared_functions,callees,named_addrs
main-ec-028,main-ec,6,28,0x0080 0x0094 0x0095 0x0096 0x009B 0x009C,0x0080-0x009C,5,bank0:0x53AF=stage_009b_block_branch_dispatch [dispatch]; bank0:0x541D=stage_009b_block_dispatch_51c8 [dispatch]; bank0:0x537F=stage_0094_block_dispatch_4d96 [dispatch]; common:0x5202=FUN_CODE_5202; common:0x57C2=FUN_CODE_57c2,common:0x05E8 [3/5]; common:0x05EF [3/5]; common:0x1636 [3/5] (+6 more called by the cluster's functions),
main-ec-029,main-ec,6,18,0x1638 0x1639 0x163A 0x163B 0x163C 0x163D,0x1638-0x163D,8,common:0x38F0=FUN_CODE_38f0; common:0x3A02=thunk_FUN_CODE_38f0,common:0x3C38 [2/8]; common:0x3C3F [2/8]; common:0x3C46 [2/8] (+3 more called by the cluster's functions),
main-ec-030,main-ec,6,9,0x0769 0x076A 0x076B 0x076C 0x076D 0x076E,0x0769-0x076E,1,bank0:0xA747=stage_0769_076e_convert_to_1803 [state],bank0:0xBC9F [1/1],
main-ec-031,main-ec,5,311,0x0A56 0x0A57 0x0A58 0x0A59 0x0A5A,0x0A56-0x0A5A,72,bank0:0xB40C=zero_xdata_block_ptr_r6r7_count_r4r5 [writer]; bank0:0xE4F0=jump_to_f0a3 [forwarder]; bank0:0xF078=store_a_0_1_zeros_at_dptr_plus1 [writer]; bank0:0xF079=store_a_0_1_zeros_at_dptr [writer]; bank0:0xF07E=store_a_plus1_then_five_zeros [unresolved]; bank0:0xF07F=store_a_then_five_zeros [writer]; bank0:0xF080=store_five_zeros_at_dptr_plus1 [unresolved]; bank0:0xF081=store_a_five_times [writer]; bank0:0xF083=store_a_four_times [writer]; bank0:0xF089=store_a_once_at_dptr_plus1 [unresolved]; bank0:0xF08B=set_0a56_to_0f_60_00_00_00 [writer]; bank0:0xF09F=set_0f60_84_and_0a56_block [writer]; bank0:0xF0A1=FUN_CODE_f0a1; bank0:0xF0A3=gate_on_a_then_set_0a56_block [gate]; bank0:0xF0C4=clear_0f60_61_and_set_0a56_block [writer]; bank0:0xF0C8=store_a_twice_at_dptr [writer]; bank0:0xF0CA=store_a_read_0fa0_then_set_0a56_block [writer]; bank0:0x445E=stage_and_commit_0a56_block [state]; bank0:0x8294=FUN_CODE_8294; bank0:0xE3D0=write_103f_through_0a56_pointer [writer]; bank0:0xE453=copy_bytes_between_two_16bit_bases [copy]; bank0:0xEADA=FUN_CODE_eada; common:0x451A=FUN_CODE_451a; common:0x1AC2=FUN_CODE_1ac2; common:0x1E6E=FUN_CODE_1e6e; common:0x1E7F=FUN_CODE_1e7f; bank0:0x8F20=state_0817_dispatch [state]; bank0:0xAF8A=init_0a48_and_0a59_blocks [init]; bank0:0xB947=load_r3_r7_from_0a48_store_a [state]; bank0:0xB955=set_dptr_0a59_b955 [unresolved]; bank0:0xB965=add_r6_r7_to_0a58_pair_then_halve [math]; bank0:0xB9A4=copy_direct_65_66_to_x00c0 [copy]; bank0:0xB9AE=init_0a59_block_from_direct_68 [state]; bank0:0xB9DF=copy_x1918_to_x0a57 [copy]; bank0:0xB9EA=read_1919_byte_set_dptr_0a56 [unresolved]; bank0:0xBA81=copy_code_pair_63f0_to_xdata_at_2r7_offset [copy]; bank0:0xCA53=tick_06ea_against_period_in_0a56 [math]; bank0:0xE4B9=init_0a4d_block_and_count [state]; bank0:0xED74=write_0a59_block_then_445e [writer]; bank0:0xF0ED=set_0f60_88_and_0a56_0f_60 [writer]; bank0:0xF0EF=store_a_to_0f60_and_set_0a56 [unresolved]; bank0:0xF0F3=set_0a56_to_0f_60 [writer]; bank0:0xF493=store_bd_to_0f60_then_0a56_0a57 [writer]; bank0:0xF495=set_dptr_0f60_then_store_a [writer]; bank0:0xF498=store_a_at_dptr [writer]; bank0:0xF499=write_0f_60_to_0a56_0a57 [writer],bank0:0xB965 [9/72]; bank0:0xBA3D [9/72]; bank0:0x821F [8/72] (+103 more called by the cluster's functions),
main-ec-032,main-ec,5,50,0x0A17 0x0A1B 0x0A1C 0x0A1D 0x0A1E,0x0A17-0x0A1E,4,common:0x4643=FUN_CODE_4643; common:0x4666=FUN_CODE_4666; common:0x46F9=FUN_CODE_46f9,common:0x43A5 [3/4]; common:0x4A42 [3/4]; common:0x4A5E [3/4] (+13 more called by the cluster's functions),
main-ec-033,main-ec,5,49,0x048A 0x048B 0x048C 0x048D 0x048E,0x048A-0x048E,3,bank1:0xEF26=data_run_33_34 [unresolved]; bank1:0xEF32=xdata_request_dispatch_048c [dispatch],bank1:0xEFDA [2/3]; bank1:0xEFBC [2/3]; bank1:0x88F0 [1/3],
main-ec-034,main-ec,5,33,0x0392 0x0393 0x03A2 0x03BD 0x03BE,0x0392-0x03BE,5,bank1:0xD946=FUN_CODE_d946; bank1:0xD8F9=FUN_CODE_d8f9,bank1:0x8892 [3/5]; bank1:0x8886 [3/5]; bank1:0xCBF3 [2/5] (+19 more called by the cluster's functions),
main-ec-035,main-ec,5,31,0x0571 0x0572 0x0573 0x0574 0x05F6,0x0571-0x05F6,6,bank1:0xB6A8=snapshot_0432_043c_04f2_04fc [copy]; bank1:0xB5AF=dispatch_043c_04fc_bits [dispatch]; bank1:0xB666=gate_0572_bit0_clear [gate]; bank1:0xB679=gate_0572_bit0_set [gate]; bank1:0xB68C=gate_0571_0573_eq_1 [gate],bank1:0xB6A8 [5/6]; bank1:0x896A [4/6]; bank1:0x88F0 [4/6] (+5 more called by the cluster's functions),
main-ec-036,main-ec,5,27,0x1200 0x1201 0x1202 0x1204 0x1205,0x1200-0x1205,5,bank0:0xDB96=stream_code_bytes_to_1201 [writer]; bank0:0xDC17=write_1201_seq_07_05_30 [writer]; bank0:0xDC60=set_bit0_1202_1204_1205 [writer]; bank0:0xDC77=clear_bit0_1202_1204_1205 [writer],bank0:0xDC77 [2/5]; bank0:0xDC60 [2/5]; bank0:0xDC8D [2/5] (+2 more called by the cluster's functions),
main-ec-037,main-ec,5,24,0x04AD 0x04AE 0x04AF 0x0577 0x0578,0x04AD-0x0578,4,bank1:0xBFBB=FUN_CODE_bfbb; bank1:0xB937=clear_0492_0496_0577_0578_0542 [writer],bank1:0x888C [3/4]; bank1:0x8863 [3/4]; bank1:0x8898 [3/4] (+12 more called by the cluster's functions),
main-ec-038,main-ec,5,21,0x031D 0x031F 0x034D 0x03AA 0x03BA,0x031D-0x03BA,2,bank1:0xE5D6=FUN_CODE_e5d6; bank1:0xD274=div_23_minus_0386_by_034d_capped_15 [math],bank1:0xA5E6 [1/2]; bank1:0x8886 [1/2],
main-ec-039,main-ec,5,17,0x1000 0x1020 0x1042 0x16E7 0x3105,0x1000-0x3105,4,common:0x0200=FUN_CODE_0200; bank0:0xD5D4=write_33_to_1501_join_loop_d5db [writer]; bank0:0xD5DB=FUN_CODE_d5db; common:0x0213=FUN_CODE_0213,bank0:0xD6C9 [2/4]; bank0:0xC44D [2/4]; bank0:0x0EA2 [2/4] (+16 more called by the cluster's functions),
main-ec-040,main-ec,5,13,0x0686 0x0691 0x1C0A 0x1C1B 0x2009,0x0686-0x2009,3,bank1:0x9A41=step_0686_by_14_or_set_0681_80 [state]; bank1:0x9A78=step_0691_by_14_or_set_068c_80 [state],bank1:0xDEC4 [1/3],
main-ec-041,main-ec,5,9,0x00F5 0x1541 0x1542 0x310F 0x3205,0x00F5-0x3205,3,common:0x0C86=FUN_CODE_0c86; common:0x0BDB=FUN_CODE_0bdb,bank0:0x397D [1/3]; bank0:0xD3C8 [1/3]; common:0x07F8 [1/3] (+16 more called by the cluster's functions),
main-ec-042,main-ec,5,5,0x0818 0x0819 0x081A 0x081B 0x081C,0x0818-0x081C,1,bank1:0x85C1=init_0818_081f_byte_set [state],,
main-ec-043,main-ec,4,54,0x0694 0x1C11 0x1C15 0x1C16,0x0694-0x1C16,10,bank1:0x9B3C=FUN_CODE_9b3c; bank1:0x9BE6=inc_694_by_2_set_68c_80 [writer]; bank1:0x9D53=FUN_CODE_9d53; bank0:0xD091=dispatch_on_0860 [dispatch]; bank1:0x85AE=clear_1c15_1c16_set_1c11_ff [state]; bank1:0x9BF8=reset_1c11_1c15_1c16_set_68b_4 [state]; bank1:0x9CE8=FUN_CODE_9ce8; bank0:0xD289=clear_0860 [writer]; bank0:0xD28E=copy_0866_86b_to_1c04_1c3a [copy],bank0:0xD2BE [1/10]; bank0:0xD673 [1/10]; bank0:0xD28E [1/10] (+15 more called by the cluster's functions),
main-ec-044,main-ec,4,53,0x0825 0x0826 0x0827 0x086F,0x0825-0x086F,15,bank0:0xC55F=FUN_CODE_c55f; bank0:0xC5BD=FUN_CODE_c5bd; bank0:0xD9DC=select_0825_or_0827_into_0826 [logic]; bank1:0x976E=clear_0480_bit0_then_step_05f1_countdown [state]; bank1:0x9817=enter_state_0480_05f1_06d9 [state]; bank0:0xAC4A=toggle_08e2_bit4 [state],bank0:0xA747 [3/15]; bank0:0xCA1D [2/15]; bank0:0xCA2D [2/15] (+35 more called by the cluster's functions),
main-ec-045,main-ec,4,50,0x0492 0x04A0 0x0524 0x0526,0x0492-0x0526,18,bank1:0xC778=clear_0492_04a0_0524_0526_and_0497b5 [logic]; bank1:0xD0C4=update_0524_0526_4a0_and_0497_flags [state]; bank1:0xD17E=increment_0514_toward_0x64 [logic]; bank1:0xAD80=forwarder_to_ad8b [forwarder]; bank1:0xAD8B=update_0492_from_0490_0524 [logic]; bank1:0xB98D=threshold_dispatch_0438_by_0491 [dispatch]; bank1:0xBA43=gate_chain_to_0491_bit0 [gate]; bank1:0xB224=FUN_CODE_b224,bank1:0x8886 [8/18]; bank1:0x8892 [8/18]; bank1:0x8863 [6/18] (+30 more called by the cluster's functions),
main-ec-046,main-ec,4,24,0x047C 0x09F0 0x09F1 0x09F2,0x047C-0x09F2,4,bank1:0x8915=saturating_count_09f0_then_call_88f0 [state]; bank1:0x8955=init_09f1_and_zero_09f2_through_09f9 [init],bank1:0x897B [1/4]; bank1:0x88F0 [1/4]; bank1:0x89A9 [1/4] (+1 more called by the cluster's functions),
main-ec-047,main-ec,4,23,0x068D 0x1C12 0x1C13 0x1C14,0x068D-0x1C14,6,bank1:0x9CE8=FUN_CODE_9ce8; bank1:0x9D53=FUN_CODE_9d53; bank0:0xD2EF=FUN_CODE_d2ef,bank1:0x9CC0 [2/6]; bank1:0x9B3C [1/6]; bank1:0x1984 [1/6] (+2 more called by the cluster's functions),
main-ec-048,main-ec,4,18,0x0019 0x001A 0x001B 0x001C,0x0019-0x001C,12,common:0x0EF3=write_internal_ram_init_constants [init]; common:0x0F12=FUN_CODE_0f12,common:0x3F9D [6/12]; common:0x3CEE [1/12]; common:0x3F51 [1/12] (+2 more called by the cluster's functions),
main-ec-049,main-ec,4,18,0x08CC 0x08CD 0x08CE 0x08CF,0x08CC-0x08CF,6,bank0:0xBA15=clr_a [init]; bank0:0xBA16=store_a_to_08cc_08cd [writer]; bank0:0x9AAD=FUN_CODE_9aad; bank0:0xB9F5=add_be16_08cc_and_compute_08be_x10_diff [math]; bank0:0xBA1C=store_a_to_08ce_08cf [writer]; bank0:0xBBC7=sub_10x_08bd_from_08ce_pair [math],bank0:0x9C47 [1/6]; bank0:0xC26E [1/6]; bank0:0xB9F5 [1/6] (+21 more called by the cluster's functions),
main-ec-050,main-ec,4,18,0x0A0C 0x0A0D 0x0A0E 0x0A0F,0x0A0C-0x0A0F,1,common:0x36E5=FUN_CODE_36e5,common:0x36AF [1/1],
main-ec-051,main-ec,4,16,0x031C 0x031E 0x03A9 0x097B,0x031C-0x097B,4,bank1:0xDC52=FUN_CODE_dc52; bank1:0xCB80=div_0343_by_31e_shifted_into_03a9 [math],bank1:0x8886 [3/4]; bank1:0x8863 [1/4]; bank1:0x8CE3 [1/4] (+12 more called by the cluster's functions),
main-ec-052,main-ec,4,16,0x043D 0x0984 0x09CD 0x1802,0x043D-0x1802,3,bank0:0xB38E=step_1802_toward_bf12_limited_by_09cd [state]; bank0:0xBF12=copy_043d_to_09cd_and_return_09cd [copy],bank0:0xB3E4 [1/3]; bank0:0xC016 [1/3]; bank0:0xBF12 [1/3] (+3 more called by the cluster's functions),0x043D
main-ec-053,main-ec,4,14,0x0739 0x073A 0x08E6 0x08E7,0x0739-0x08E7,3,bank0:0x8653=seed_fan_table_base [init]; bank0:0xBC4F=fan_table_base_offset_helper [math],bank0:0xBB60 [1/3]; bank0:0xBC0E [1/3]; bank0:0xB987 [1/3] (+2 more called by the cluster's functions),
main-ec-054,main-ec,4,13,0x0450 0x0452 0x2001 0x2002,0x0450-0x2002,4,bank1:0x8801=single_movx_store_not_a_function [unresolved]; bank1:0x8802=ajmp_8822_not_a_function [unresolved]; bank1:0x881B=copy_2000_2002_to_0450_0452 [copy],,0x0450 0x0452
main-ec-055,main-ec,4,13,0x05F2 0x05F3 0x0722 0x080B,0x05F2-0x080B,2,bank1:0xB784=FUN_CODE_b784; bank1:0xB841=arm_05f2_countdown_0575_clears_0490 [state],bank1:0x8863 [1/2]; bank1:0x8886 [1/2]; bank1:0xB321 [1/2] (+6 more called by the cluster's functions),
main-ec-056,main-ec,4,12,0x0576 0x05E1 0x05F4 0x05F5,0x0576-0x05F5,2,bank1:0xB80A=arm_05f5_countdown_0490_bit5 [state]; bank1:0xB8E1=arm_05f4_countdown_0576_clears_0490 [state],bank1:0xB962 [1/2]; bank1:0xC613 [1/2]; bank1:0x888C [1/2] (+1 more called by the cluster's functions),
main-ec-057,main-ec,4,12,0x0600 0x0601 0x08D0 0x08D1,0x0600-0x08D1,3,bank0:0x8048=unresolved_midstream_bytes [unresolved]; bank0:0x8054=index_case_00 [writer]; bank0:0x806C=store_byte_through_0a59_into_0600 [writer],bank0:0xB965 [3/3]; bank0:0x821F [3/3]; bank0:0xBA3D [3/3] (+6 more called by the cluster's functions),
main-ec-058,main-ec,4,11,0x070E 0x073F 0x0899 0x097C,0x070E-0x097C,3,bank1:0xA24E=FUN_CODE_a24e; bank0:0xA96B=clear_073f_and_0899 [writer],bank0:0xC15C [1/3]; bank0:0xBEF7 [1/3]; bank1:0x8863 [1/3] (+13 more called by the cluster's functions),
main-ec-059,main-ec,4,9,0x0395 0x0396 0x039A 0x03F0,0x0395-0x03F0,4,bank1:0xCC2D=FUN_CODE_cc2d; bank1:0xC931=FUN_CODE_c931,bank1:0x8886 [4/4]; bank1:0x8863 [3/4]; bank1:0x8898 [3/4] (+7 more called by the cluster's functions),
main-ec-060,main-ec,4,8,0x0602 0x0603 0x08D2 0x08D3,0x0602-0x08D3,2,bank0:0x8094=index_case_01 [writer]; bank0:0xB5D3=FUN_CODE_b5d3,bank0:0xB965 [1/2]; bank0:0xBDAE [1/2]; bank0:0x821F [1/2] (+26 more called by the cluster's functions),
main-ec-061,main-ec,4,7,0x1105 0x1B02 0x1B06 0x1B0A,0x1105-0x1B0A,1,common:0x27AB=FUN_CODE_27ab,common:0x2A99 [1/1],
main-ec-062,main-ec,4,6,0x0790 0x0791 0x0793 0x0794,0x0790-0x0794,2,bank0:0xAE87=build_0791_0793_0794_then_branch [state]; bank0:0xAF27=fill_0790_0791_0793_via_calls [state],bank0:0xAF8A [2/2]; bank0:0xB990 [2/2]; bank0:0xB958 [2/2] (+10 more called by the cluster's functions),
main-ec-063,main-ec,4,5,0x0604 0x0605 0x08D4 0x08D5,0x0604-0x08D5,1,bank0:0x80D7=index_case_02 [writer],bank0:0xB965 [1/1]; bank0:0xBDBA [1/1]; bank0:0x821F [1/1] (+4 more called by the cluster's functions),
main-ec-064,main-ec,4,5,0x0606 0x0607 0x08D6 0x08D7,0x0606-0x08D7,1,bank0:0x811A=index_case_03 [writer],bank0:0xB965 [1/1]; bank0:0xBDC6 [1/1]; bank0:0x821F [1/1] (+4 more called by the cluster's functions),
main-ec-065,main-ec,4,5,0x0608 0x0609 0x08D8 0x08D9,0x0608-0x08D9,1,bank0:0x815D=index_case_04 [writer],bank0:0xB965 [1/1]; bank0:0xB9DF [1/1]; bank0:0x821F [1/1] (+3 more called by the cluster's functions),
main-ec-066,main-ec,4,5,0x060A 0x060B 0x08DA 0x08DB,0x060A-0x08DB,1,bank0:0x819D=index_case_05 [writer],bank0:0xB965 [1/1]; bank0:0xBDAE [1/1]; bank0:0x821F [1/1] (+4 more called by the cluster's functions),
main-ec-067,main-ec,4,5,0x060C 0x060D 0x08DC 0x08DD,0x060C-0x08DD,1,bank0:0x81DF=index_case_06 [writer],bank0:0xB965 [1/1]; bank0:0xBDBA [1/1]; bank0:0x805B (also bank0:0x8274) [1/1] (+4 more called by the cluster's functions),
main-ec-068,main-ec,4,4,0x0795 0x0796 0x0798 0x0799,0x0795-0x0799,1,bank0:0xAEC0=build_0795_0799_then_set_08ec [state],bank0:0xAFF2 [1/1]; bank0:0xAF7D [1/1]; bank0:0xB947 [1/1] (+6 more called by the cluster's functions),
main-ec-069,main-ec,3,214,0x0A4D 0x0A4E 0x0A4F,0x0A4D-0x0A4F,35,bank0:0x703A=thunk_FUN_CODE_e722; bank0:0xB12C=manual_ctrl_profile_gate [gate]; bank0:0xB158=charge_target_update [charge-target]; bank0:0xB1F0=charge_stress_update [charge-target]; bank0:0xE4B9=init_0a4d_block_and_count [state]; bank0:0xE6B1=init_args_then_e51e_e4fe_16 [state]; bank0:0xE6F4=FUN_CODE_e6f4; bank0:0xE722=FUN_CODE_e722; bank0:0xE7CA=init_0a50_2_then_start_0x13_block [state]; bank0:0xE822=FUN_CODE_e822; bank0:0xEF12=ajmp_0xe822 [forwarder]; common:0x1BF3=FUN_CODE_1bf3; common:0x1C00=FUN_CODE_1c00; common:0x1C14=FUN_CODE_1c14; common:0x2E9C=FUN_CODE_2e9c; bank0:0xE570=probe_c0_c1_expect_88_51_or_53 [gate]; common:0x258B=FUN_CODE_258b; common:0x30FB=FUN_CODE_30fb; common:0x311D=FUN_CODE_311d,bank0:0x4777 [10/35]; bank0:0xF08B [6/35]; bank0:0xE4FE [6/35] (+90 more called by the cluster's functions),
main-ec-070,main-ec,3,80,0x0459 0x048F 0x06E1,0x0459-0x06E1,14,bank1:0x8BB2=set_0480_50_zero_048f_0459_02_06e1_a0 [state]; bank1:0x8AE5=probe_159a_19f0_0983_then_dispatch [dispatch]; bank1:0x8B01=load_dptr_097f [reader]; bank1:0x8B04=countdown_06c0_latch_097f_bit0 [state]; bank1:0x8B8F=clear_0480_bit4_set_0459_01_06e1_a0 [state]; bank1:0x8D62=FUN_CODE_8d62; bank1:0x8D83=count_down_0678_0679_pair [state],bank1:0x1762 [8/14]; bank1:0x8B31 [5/14]; bank1:0x1768 [5/14] (+21 more called by the cluster's functions),0x0459
main-ec-071,main-ec,3,54,0x0817 0x081E 0x081F,0x0817-0x081F,12,bank0:0x8F20=state_0817_dispatch [state]; bank0:0x8FDB=state_0817_fallthrough [state]; bank0:0x9006=read_dptr_byte [reader]; bank0:0x9007=word_nonzero_check_tail [logic]; bank0:0x900D=clear_081e_after_c2a2 [writer]; bank0:0xBC14=init_0817_081e_081f_read_0815 [writer]; bank1:0x85C1=init_0818_081f_byte_set [state],bank0:0xC2A2 [5/12]; bank0:0xC2AA [2/12]; bank0:0xC48F [2/12] (+18 more called by the cluster's functions),
main-ec-072,main-ec,3,49,0x0432 0x043C 0x04F2,0x0432-0x04F2,19,bank1:0xB6A8=snapshot_0432_043c_04f2_04fc [copy]; bank1:0xC277=set_0432_from_0494 [writer]; bank1:0xAD85=forwarder_to_b33b [forwarder]; bank1:0xAD88=forwarder_to_c245 [forwarder]; bank1:0xB1B3=dispatch_0490_low3 [dispatch]; bank1:0xB202=carry_set_set_043c_4_call_b2a0 [logic]; bank1:0xB224=FUN_CODE_b224; bank1:0xB33B=FUN_CODE_b33b; bank1:0xB68C=gate_0571_0573_eq_1 [gate]; bank1:0xC245=dispatch_0490_bits_1_5_6 [dispatch]; bank1:0xC267=reset_0432_and_04f2 [writer],bank1:0x888C [13/19]; bank1:0x8892 [9/19]; bank1:0x8863 [8/19] (+28 more called by the cluster's functions),0x0432 0x043C
main-ec-073,main-ec,3,41,0x0004 0x1001 0x2006,0x0004-0x2006,16,bank0:0xFF17=ff_filler_not_a_function_ff17 [unresolved]; bank0:0xFF90=ff_filler_not_a_function_ff90 [unresolved]; bank1:0xF512=unimplemented_ff_fill_f512 [unresolved]; bank1:0xF70D=unimplemented_ff_fill_f70d [unresolved]; bank1:0xF727=unimplemented_ff_fill_f727 [unresolved]; bank1:0xF73E=unimplemented_ff_fill_f73e [unresolved]; bank1:0xF902=unimplemented_ff_fill_f902 [unresolved]; bank1:0xFF17=unimplemented_ff_fill_ff17 [unresolved]; bank1:0xFF63=unimplemented_ff_fill_ff63 [unresolved]; common:0x0000=reset_vector_forwarder_to_0070 [entry]; common:0x0070=FUN_CODE_0070; common:0x0046=FUN_CODE_0046; common:0x0504=FUN_CODE_0504,common:0x00CF [13/16]; common:0x0F75 [12/16]; common:0x1594 [12/16] (+7 more called by the cluster's functions),
main-ec-074,main-ec,3,27,0x0509 0x054E 0x0848,0x0509-0x0848,5,bank1:0xAD85=forwarder_to_b33b [forwarder]; bank1:0xB33B=FUN_CODE_b33b,bank1:0x8886 [4/5]; bank1:0x888C [4/5]; bank1:0x8863 [3/5] (+32 more called by the cluster's functions),
main-ec-075,main-ec,3,24,0x0A5E 0x0A5F 0x0A60,0x0A5E-0x0A60,3,bank0:0x445E=stage_and_commit_0a56_block [state]; common:0x451A=FUN_CODE_451a,common:0x4A42 [3/3]; common:0x4A4D [3/3]; common:0x43A5 [2/3] (+16 more called by the cluster's functions),
main-ec-076,main-ec,3,23,0x039B 0x039C 0x039D,0x039B-0x039D,2,bank1:0xCB1F=set_039b_039c_from_0404_div_100 [math]; bank1:0xCAB8=FUN_CODE_cab8,bank1:0xA5E6 [2/2]; bank1:0x8886 [2/2]; bank1:0x888C [1/2] (+1 more called by the cluster's functions),
main-ec-077,main-ec,3,22,0x070C 0x072C 0x0758,0x070C-0x0758,4,bank1:0x9F04=dispatch_on_dpl_5b_7b_40 [dispatch]; bank1:0xC647=gate_0709b0_into_045b_branch [gate]; bank1:0xC659=toggle_045b_b0_and_0758_b3 [state],bank1:0xC6B8 [3/4]; bank1:0x88F0 [3/4]; bank1:0xC638 [2/4] (+2 more called by the cluster's functions),
main-ec-078,main-ec,3,21,0x07FD 0x07FE 0x07FF,0x07FD-0x07FF,6,bank0:0xD5D4=write_33_to_1501_join_loop_d5db [writer]; bank0:0xD5DB=FUN_CODE_d5db; bank0:0xD673=FUN_CODE_d673; bank0:0xD74F=write_33_to_1511_then_loop [writer]; bank0:0xD757=FUN_CODE_d757; bank1:0x94FA=magic_55aa_and_0704_countdown [state],bank0:0xD6C9 [3/6]; bank0:0xC44D [3/6]; bank0:0x0EA2 [3/6] (+12 more called by the cluster's functions),
main-ec-079,main-ec,3,18,0x1708 0x1709 0x170A,0x1708-0x170A,7,bank0:0x3A60=cascade_gate_170a_1709_1708 [dispatch]; bank1:0x3A60=FUN_CODE_3a60; common:0x3459=FUN_CODE_3459; common:0x3578=thunk_FUN_CODE_3459,common:0x07E7 [3/7]; common:0x07F0 [3/7]; common:0x012F [2/7] (+19 more called by the cluster's functions),
main-ec-080,main-ec,3,17,0x1700 0x1701 0x1702,0x1700-0x1702,7,bank0:0x3A60=cascade_gate_170a_1709_1708 [dispatch]; bank1:0x3A60=FUN_CODE_3a60; common:0x07B6=FUN_CODE_07b6; common:0x07C1=FUN_CODE_07c1; common:0x30A6=FUN_CODE_30a6,common:0x012F [2/7]; common:0x018C [2/7]; common:0x029B [2/7] (+5 more called by the cluster's functions),
main-ec-081,main-ec,3,14,0x057B 0x057C 0x057D,0x057B-0x057D,4,bank1:0x92F7=write_057b_057c_057d_and_call_888c [logic]; bank1:0xBFBB=FUN_CODE_bfbb; bank1:0xC032=FUN_CODE_c032; bank1:0xC0A8=FUN_CODE_c0a8,bank1:0x8886 [3/4]; bank1:0x8863 [3/4]; bank1:0x888C [2/4] (+4 more called by the cluster's functions),
main-ec-082,main-ec,3,11,0x083A 0x083B 0x08B8,0x083A-0x08B8,5,bank0:0x91C5=config_init_from_ba36_ba46 [init]; bank0:0xD9FE=FUN_CODE_d9fe; bank0:0x9277=FUN_CODE_9277; bank1:0xA7D8=flag_0832_bit3_send_12_3f_8c [state],bank0:0x8653 [2/5]; bank0:0xBA46 [1/5]; bank0:0x94D0 [1/5] (+18 more called by the cluster's functions),
main-ec-083,main-ec,3,10,0x0386 0x0387 0x097E,0x0386-0x097E,4,bank1:0xE8A4=compute_097e_times_10_write_0386_0387 [logic],bank1:0x9EA1 [2/4]; bank1:0xE2D3 [1/4]; bank1:0xE237 [1/4] (+14 more called by the cluster's functions),
main-ec-084,main-ec,3,9,0x04A1 0x0525 0x0527,0x04A1-0x0527,4,bank1:0xD0C4=update_0524_0526_4a0_and_0497_flags [state],bank1:0xBCB3 [2/4]; bank1:0xBD45 [2/4]; bank1:0xBE10 [2/4] (+16 more called by the cluster's functions),
main-ec-085,main-ec,3,9,0x0762 0x0763 0x0764,0x0762-0x0764,2,bank1:0xF129=store_00_ff_0d_to_0762_0764 [writer]; bank1:0xA452=map_0763_through_f13f_table [logic],bank1:0xA476 [1/2],
main-ec-086,main-ec,3,7,0x09C1 0x09C2 0x09C3,0x09C1-0x09C3,3,bank0:0xDF78=scale_r7_by_8_then_set_09c1_09c3 [math]; bank0:0xE03F=set_09c1_09c3_from_dptr [writer],bank0:0xDE83 [1/3]; bank0:0xE033 [1/3],
main-ec-087,main-ec,3,6,0x0081 0x1623 0x1625,0x0081-0x1625,1,common:0x2820=FUN_CODE_2820,,
main-ec-088,main-ec,3,6,0x03CD 0x03CE 0x03CF,0x03CD-0x03CF,1,bank1:0xE3B5=copy_03cd_03ce_03cf_to_1c02_1c04_1c05 [copy],bank1:0xE4E9 [1/1]; bank1:0xE501 [1/1],
main-ec-089,main-ec,3,6,0x0631 0x0633 0x08E3,0x0631-0x08E3,1,bank1:0x95E5=set_0476_bit1_then_branch_on_r7 [logic],common:0x159A [1/1]; bank1:0x1A26 [1/1]; bank1:0x1A2C [1/1] (+4 more called by the cluster's functions),
main-ec-090,main-ec,3,6,0x0804 0x0808 0x080E,0x0804-0x080E,2,bank1:0xA916=clamp_078b_level_into_0804 [state],bank1:0x88F0 [1/2]; bank1:0xA9B3 [1/2]; bank1:0x88A4 [1/2],
main-ec-091,main-ec,3,6,0x08FE 0x08FF 0x1C41,0x08FE-0x1C41,2,bank0:0xED47=gate_a4b_eq_9 [gate]; bank0:0xED52=write_1c41_12_copy_0a49_0a4a_clear_1601_bit4 [writer],bank0:0xEAD1 [2/2]; bank0:0xEBD5 [1/2],
main-ec-092,main-ec,3,6,0x0A06 0x0A07 0x0A08,0x0A06-0x0A08,1,common:0x3679=FUN_CODE_3679,common:0x2F1D [1/1],
main-ec-093,main-ec,3,6,0x0A09 0x0A0A 0x0A0B,0x0A09-0x0A0B,1,common:0x36AF=FUN_CODE_36af,common:0x2F1D [1/1],
main-ec-094,main-ec,3,6,0x164C 0x164D 0x164E,0x164C-0x164E,2,bank0:0xE376=load_164b_and_80 [writer]; bank0:0xE37B=store_a_to_dptr_then_164c_164e [writer],,
main-ec-095,main-ec,3,6,0x3203 0x3204 0x3207,0x3203-0x3207,1,common:0x0B5F=FUN_CODE_0b5f,common:0x14F2 [1/1],
main-ec-096,main-ec,3,5,0x0454 0x0455 0x047D,0x0454-0x047D,3,bank1:0x87DD=copy_code_a691_a693_to_xdata [copy],common:0x3F9D [2/3],0x0454 0x0455
